variable	focal_median	other_median	smd	p_mannwhitney	imbalance
n_contigs	15.0	26.0	-0.29177082847436475	2.807878906701667e-17	notable
N50	254599.0	162970.0	0.15795434380169526	2.933170345872432e-17	modest
total_len	1794479.5	1844504.5	-0.6433635696128347	1.3368220807667774e-27	notable
checkm_completeness	99.245	99.25	-0.09463968461627029	0.004301739940949039	negligible
checkm_contamination	0.27	0.14	0.008793151018570906	0.0029126699776313176	negligible
assembly_level			0.07900554386094297	0.0029938756722823583	negligible
seq_tech			0.5953644498983118	1.656315060654705e-97	notable
